province,type,name,about,priorities,website,phone,email,address,parent_ministry,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
AB,Regulatory/Adjudicative,College of Alberta Dental Assistants - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://abrda.ca/about/about-the-council/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Alberta Denturists - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.abdenturists.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Alberta Psychologists - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.cap.ab.ca/,,,,,,,,,,,,,
AB,Advisory,College of Alberta School Superintendents,,,https://cass.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Chiropractors of Alberta,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://theccoa.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Dental Surgeons of Alberta,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://cdsab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Dental Technologists of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://cdta.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Dietitians of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Hearing Aid Practitioners of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://chapa.ca/members/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Licensed Practical Nurses of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.clha.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Medical Laboratory Technologists of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.cmlta.org/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Midwives of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes establishing and enforcing a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.albertamidwives.org/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Naturopathic Doctors of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.cnda.net/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Opticians of Alberta,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://albertaopticians.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Physicians and Surgeons of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://cpsa.ca/about-cpsa/governance/council/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Physiotherapists of Alberta,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.cpta.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Podiatric Physicians of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.albertapodiatry.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Registered Nurses of Alberta,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://nurses.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Registered Psychiatric Nurses of Alberta - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://crpna.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,College of Respiratory Therapists of Alberta,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://rrtalberta.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Compassionate Intervention Commission,"Mandate: The Compassionate Intervention Commission is an independent adjudicative body tasked with making decisions under theCompassionate Intervention Act. Responsibilities include reviewing applications and conducting hearings, non-compliance reviews and appeals. Led by the commissioner, members will include lawyers, physicians and members of the public appointed by the Lieutenant Governor in Council.",,https://www.alberta.ca/compassionate-intervention,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Condominium Dispute Resolution Tribunal,"The Condominium Dispute Resolution Tribunal provides Albertans with access to independent, fair, and timely quasi-judicial and alternative dispute resolution services for the resolution of disputes concerning theCondominium Property Act, the condominium property regulation and the condominium community.",,https://www.alberta.ca/condominium-dispute-resolution-tribunal,,,,,,,,,,,,,
AB,Advisory,Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,To ensure that French-speaking Albertans have a voice in the implementation of the French Policy by identifying priorities for strengthening the community’s vitality; improving the development and delivery of government services in French within available resources; optimizing the use of existing provincial funding for services in French and federal funding administered by the department responsible for the Francophone Secretariat and evaluating the effectiveness of the policy in achieving its intended outcomes.,,https://www.alberta.ca/fr/francophone-secretariat,,,,,,,,,,,,,
AB,Service Delivery,Credit Counselling Services of Alberta (operating as Money Mentors),Credit Counselling Services of Alberta (Money Mentors) is a delegated administrative organization that administers the Orderly Payment of Debts program in Alberta as specified under the federal Bankruptcy and Insolvency Act. Credit Counselling Services of Alberta (Money Mentors) is also delegated to provide financial literacy materials and programs for Albertans.,,https://moneymentors.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Credit Union Deposit Guarantee Corporation,The Credit Union Deposit Guarantee Corporation provides risk-based regulatory oversight and a deposit guarantee to enable a safe and sound Alberta credit union system.,,https://cudgc.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Criminal Code Review Board,"The Criminal Code Review Board makes or reviews dispositions concerning any accused person for whom a verdict of “not criminally responsible because of mental disorder” or “unfit to stand trial” is rendered, according to the provisions of the Criminal Code of Canada.",,https://www.alberta.ca/criminal-code-review-board,,,,,,,,,,,,,
AB,Service Delivery,Debtors` Assistance Board,The Debtors’ Assistance Board oversees the administration of the Orderly Payment of Debts Program under the federal Bankruptcy and Insolvency Act.,,https://albertaonrecord.ca/debtors-assistance-board,,,,,,,,,,,,,
AB,Advisory,Dillon River Wildland Provincial Park Cooperative Management Board,"The Dillon River Wildland Provincial Park Cooperative Management Board provides recommendations to the Minister on matters related to the development of a park-specific management plan and implementation oversight. In addition to the government appointed positions, there are an additional twenty-three members and their alternates, representing many Indigenous communities.",,https://www.albertaparks.ca/parks/north/dillon-river-wpp/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Drainage Council,"The Drainage Council is an adjudicative agency that provides advice and recommendations to the Minister, as well as oversight and support to Drainage Districts to ensure they are maintaining their regulatory obligations. In their adjudicative capacity, the Council hears appeals regarding decisions of Drainage District Boards of Trustees related to taxes and construction damages.",,https://open.alberta.ca/publications/d16,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Edmonton Police Commission,,,https://edmontonpolicecommission.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Electrical Contractors Association of Alberta - Board of Directors,"The Board of Directors of the Electrical Contractors Association of Alberta manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association.",,https://www.ecaa.ab.ca/board-of-directors/,,,,,,,,,,,,,
AB,Service Delivery,Emergency Health Services Provincial Health Corporation,Mandate: The Emergency Health Services Provincial Health Corporation is established for the purposes of delivering and coordinating the delivery of emergency health services in the acute care health services sector.,,https://www.albertahealthservices.ca/,,,,,,,,,,,,,
AB,Advisory,Endangered Species Conservation Committee,The Committee shall advise the minister of Environment and Parks and make non-binding recommendations on matters related to:,,https://open.alberta.ca/publications/species-assessed-by-the-conservation-committee-alberta-species-at-risk,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Environmental Appeals Board,"The Environmental Appeals Board hears appeals relating to administrative decisions regarding environmental approvals, water licenses, enforcement orders, reclamation/remediation certificates, preliminary certificates, administrative penalties, and environmental protection orders. The Board generally makes recommendations to the Minister for final decision; the Board makes the final decision on matters related to requests for confidentiality, administrative penalties, preliminary motions, and cost.",,https://eab.gov.ab.ca/,,,,,,,,,,,,,
AB,Advisory,Expert Committee on Drug Evaluation and Therapeutics,The Expert Committee on Drug Evaluation and Therapeutics acts as the Minister’s external expert drug advisory committee. The Committee provides advice and recommendations to the Minister respecting the therapeutic value and cost effectiveness of drug products.,,https://abpharmacy.ca/news/expert-committee-drug-evaluation-and-therapeutics/,,,,,,,,,,,,,
AB,Advisory,Family Support for Children with Disabilities Provincial Parent Advisory Committee,,,https://www.alberta.ca/provincial-parent-advisory-committee,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Farm Implement Board,"The Farm Implement Board manages the Farm Implement Compensation Fund, which is financed through the dues and levies paid by licensed dealers and distributors. Through the Farm Implement Compensation Fund, compensation is available for situations where a breach of a lease or sale agreement has occurred. The Board may also make recommendations to the Minister with respect to the Farm Implement Act.",,https://www.alberta.ca/farm-implement-board,,,,,,,,,,,,,
AB,Advisory,Fatality Review Board,The Fatality Review Board reviews investigations by the Office of the Chief Medical Examiner and makes recommendation to the Minister whether to hold a public inquiry. The Board also reviews complaints regarding the performance of the medical examiner.,,https://www.alberta.ca/fatality-inquiries,,,,,,,,,,,,,
AB,Advisory,First Nations Women's Council on Economic Security,"The First Nations Women's Council on Economic Security provides strategic advice and recommendations to the Government of Alberta and other government entities with the goal of strengthening and enhancing the economic security of First Nations and Inuit women, their families, and communities.",,https://www.alberta.ca/indigenous-womens-economic-security-councils,,,,,,,,,,,,,
AB,Service Delivery,Forest Resource Improvement Association of Alberta,The Forest Resource Improvement Association of Alberta promotes and initiates projects that enhance Alberta's forest resources or improve the management of forest resources on public land.,,https://friaa.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,General Insurance Council,"The Insurance Adjusters' Council, General Insurance Council and the Life Insurance Council are the regulatory bodies responsible for licensing and discipline of insurance agents, brokers and adjusters in Alberta. The General Insurance Council is responsible for licensing and discipline of general insurance agents.",,https://www.abcouncil.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Grande Prairie Police Commission,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.,,https://www.gppcommission.com/,,,,,,,,,,,,,
AB,Service Delivery,Grant MacEwan University Board of Governors,"Grant MacEwan University is a board-governed, public post-secondary institution with its main campus located in Edmonton. It operates under the authority of Alberta’sPost-secondary Learning Actas an undergraduate university. The institution offers a range of undergraduate programming and may undertake research and scholarly activities that enrich undergraduate education.",,https://www.macewan.ca/about-macewan/governance-leadership/board-of-governors/,,,,,,,,,,,,,
AB,Advisory,Health Information and Data Governance Committee,"The Health Information and Data Governance Committee (HIDGC) provides strategic advice to ensure that health information and data is protected and is effectively used to support patient care, health system management, research and evidence-based quality improvement and program planning. HIDGC also promotes the sharing of health information outside the health sector where necessary for client service delivery through the Government of Alberta’s social programs.",,https://www.albertadoctors.org/media/k3rooomx/hidgc-overview-fact-sheet.pdf,,,,,,,,,,,,,
AB,Service Delivery,Health Quality Council of Alberta - Board of Directors,"The Health Quality Council of Alberta provides advice to the Minister on the quality of health services in Alberta. The Council is also responsible to measure, monitor and assess patient safety and health service quality, including making recommendations for improvement, assisting in implementation and evaluation of strategies/mechanisms, and surveying Albertans to assess their experience and satisfaction with patient safety and health service quality.",,https://hqa.ca/about-us/who-we-are/our-team/board-of-directors/,,,,,,,,,,,,,
AB,Service Delivery,Health Shared Services Provincial Health Corporation,Mandate: The Health Shared Services Provincial Health Corporation is established for the purposes of:,,https://www.healthsharedservices.ca/,,,,,,,,,,,,,
AB,Public Trust,Heritage Fund Opportunities Corporation,"Pursuant to its Articles of Incorporation and OC 300/2024, the mandate (and restricted business purpose) of HFOC is to provide investment management services for the purpose of managing and investing all or a portion of Crown assets.",,https://www.alberta.ca/heritage-savings-trust-fund,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Horse Racing Alberta,"Horse Racing Alberta is responsible to govern, direct, control, regulate, manage, and promote horse racing in any or all of its forms; to protect the health, safety, and welfare of racehorses and, with respect to horse racing, the safety and welfare of racing participants and racing officials; and to safeguard the interests of the general public in horse racing.",,https://thehorses.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Horse Racing Appeal Tribunal,The Horse Racing Appeal Tribunal is responsible for reviewing appeals of a ruling or direction of a racing official. The Tribunal also governs the applicability of the Alberta Rules of Court.,,https://www.hrappealpanel.ca/en/all-decisions,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Hospital Privileges Appeal Board,"The Hospital Privileges Appeal Board is established under the Hospitals Act to hear appeals from members or former members of the medical staff of approved hospitals, who consider themselves aggrieved by a decision of a Board of an approved hospital.",,https://www.alberta.ca/hospital-privileges-appeal-board,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Independent Agency Police Service Oversight Board,The Oversight Board provides improved civilian oversight to the IAPS.,,https://www.alberta.ca/policing-in-alberta,,,,,,,,,,,,,
AB,Advisory,Indigenous Wisdom Advisory Panel,The Indigenous Wisdom Advisory Panel provides advice to the Chief Scientist and the Minister about how to incorporate traditional ecological knowledge into the environmental science program.,,https://www.alberta.ca/indigenous-wisdom-advisory-panel,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Institute of Certified Management Consultants of Alberta - Board of Directors,"The Board of Directors of the Institute of Certified Management Consultants of Alberta manages and conducts the business and affairs of the Institute and exercises the rights, powers and privileges of the Institute in the name and on behalf of the Institute.",,https://cmc-alberta.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Insurance Adjusters' Council,"There are four Insurance Councils: the Alberta Insurance Council, the Insurance Adjusters' Council, the General Insurance Council and the Life Insurance Council. The Insurance Adjusters' Council, General Insurance Council and the Life Insurance Council are the regulatory bodies responsible for licensing and discipline of insurance agents, brokers and adjusters in Alberta.",,https://www.abcouncil.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Insurance Councils Appeal Board,"The Insurance Councils Appeal Board is a roster of names from which three members are appointed to an Appeal Panel. Panels hear appeals of decisions of the three industry-specific councils that regulate Alberta's insurance professionals: the Insurance Adjusters' Council, General Insurance Council and the Life Insurance Council. Panels do not meet on a regular basis otherwise.",,https://www.abcouncil.ab.ca/complaints-enforcement/appeal-a-decision/,,,,,,,,,,,,,
AB,Advisory,Integration Council,"The Integration Council is an advisory body that will support the alignment of health system strategic goals, identify efficiencies and means to remove barriers to the health system integration and patient journey, and help ensure the health system is working to deliver better health outcomes for Albertans.",,https://www.abcouncil.ab.ca/,,,,,,,,,,,,,
AB,Service Delivery,Invest Alberta Corporation,"The IAC’s overarching mandate is to attract high-impact, job-creating investment to Alberta and promote the province as a preferred investment destination to national and international investors. The Crown corporation has been established to play a leading role to support government initiatives to help instill investor confidence and generate investment in the province’s primary sectors – energy, agriculture and tourism. The corporation would also pursue investment opportunities to support Alberta’s high-growth industries, such as technology, aviation and aerospace, and financial services.",,https://investalberta.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Irrigation Council,The Irrigation Council was established under the Irrigation Districts Act to,,,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Judicial Council,"Considers proposed appointments of persons as Application Judges, Alberta Court of Justice justices and and justices of the peace, and reports its recommendations to the Minister. The council has jurisdiction to deal with complaints against Application judges, Alberta Court of Justice justices and justices of the peace. Establishes rules relating to conflicts of interest and a code of ethics for Application Judges, Alberta Court of Justice justices and justices of the peace.",,https://www.alberta.ca/courts,,,,,,,,,,,,,
AB,Service Delivery,Kananaskis Improvement District Council,"The Kananaskis Improvement District Council provides local government and municipal services to the residents of Kananaskis Country. The Council also works with, and provides input to, government with respect to land use and resource management within the improvement district.",,https://www.kananaskisid.ca/,,,,,,,,,,,,,
AB,Advisory,Kazan Wildland Provincial Park Cooperative Management Board,"The Kazan Wildland Provincial Park Cooperative Management Board provides recommendations to the Minister on matters related to the development of a park-specific management plan and implementation oversight. In addition to the government appointed positions, there are an additional twenty-three members and their alternates, representing many Indigenous communities.",,https://www.albertaparks.ca/parks/north/kazan-wpp/,,,,,,,,,,,,,
AB,Service Delivery,Keyano College Board of Governors,"Keyano College is a board-governed, public post-secondary institution with its main campus located in Fort McMurray. It operates under the authority of Alberta’sPost-secondary Learning Actas a comprehensive community college. The institution offers a range of foundational, apprenticeship, and undergraduate programming and may undertake research and scholarly activities that are focused on industry or community needs, and that support economic and social development in its region.",,https://www.keyano.ca/about-keyano/our-purpose-and-people/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Lacombe Police Commission,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.,,https://lacombepolice.ca/,,,,,,,,,,,,,
AB,Service Delivery,Lakeland College Board of Governors,"Lakeland College is a board-governed, public post-secondary institution with its main campus located in Vermilion. It operates under the authority of Alberta’sPost-secondary Learning Actas a comprehensive community college. The institution offers a range of foundational, apprenticeship, and undergraduate programming and may undertake research and scholarly activities that are focused on industry or community needs, and that support economic and social development in its region.",,https://www.lakelandcollege.ca/about/administration-and-governance/board-of-governors.html,,,,,,,,,,,,,
AB,Advisory,Land Agent Advisory Committee,"The Land Agent Advisory Committee provides advice to the Minister and the Registrar of Land Agents on land agent activities that impact land owners, land agents and employers. Upon request, the Committee may also make recommendations respecting the qualifications of applicants for land agent licenses, standards of conduct for land agents and any other matter.",,https://www.alberta.ca/land-agent-advisory-committee,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Land and Property Rights Tribunal,,,https://www.alberta.ca/land-and-property-rights-tribunal,,,,,,,,,,,,,
AB,Public Trust,LAPP Corporation,The Local Authorities Pension Plan Board of Trustees is responsible for the administration of the Local Authorities Pension Plan.,,https://www.lapp.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Law Enforcement Review Board,"The Law Enforcement Review Board reviews public complaints concerning the conduct of municipal police officers, and hears appeals by police of disciplinary action taken by the Chief of Police, and appeals from Peace Officers who have had their appointment cancelled.",,https://www.alberta.ca/law-enforcement-review-board,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Law Society of Alberta,"The mission of the Law Society is to serve the public interest by promoting a high standard of legal services and professional conduct through the governance and regulation of an independent legal profession. Its vision is to be recognized as a model for protecting the public interest and preserving the fundamental principles of justice through a self-regulated, independent and trusted legal profession.",,https://www.lawsociety.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Lethbridge Police Commission,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.,,https://lethbridgepolicecommission.com/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Life Insurance Council,"The Insurance Adjusters' Council, General Insurance Council and the Life Insurance Council are the regulatory bodies responsible for licensing and discipline of insurance agents, brokers and adjusters in Alberta. The Life Insurance Council is responsible for licensing and discipline of life insurance agents.",,https://www.abcouncil.ab.ca/,,,,,,,,,,,,,
AB,Advisory,Mackenzie River Basin Board,"The Mackenzie River Basin Board is an interjurisdictional third party board. The Board's role is to administer the Mackenzie River Basin Transboundary Waters Master Agreement. The agreement relates to water quantity and quality sharing among Alberta, Saskatchewan, British Columbia, Yukon and Northwest Territories for waterbodies that cross provincial and/or territorial borders.",,https://mrbb.ca/,,,,,,,,,,,,,
AB,Public Trust,Management Employees Pension Board,"The Management Employees Pension Board has legislated responsibilities for the Management Employees Pension Plan and some legislated responsibilities for the Public Service Management (Closed Membership) Pension Plan. The mandate of the Board, as established under the Public Sector Pension Plans Act, is to advise the Minister on any pension matter that is of interest to persons receiving or entitled in the future to receive benefits under the Plan and to consult with the Minister.",,https://www.mepp.ca/page/mepp-home,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Management Job Evaluation Appeal Board,The Management Job Evaluation Appeal Board is mandated to hear appeals by provincial government management employees of job evaluation decisions made by departments under the Management Job Evaluation Plan. Boards are struck as required and consist of one rotating chair and two rotating board members.,,https://www.alberta.ca/management-job-evaluations,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Market Surveillance Administrator,"The Market Surveillance Administrator is responsible for acting as an enforcement agency that protects and promotes the fair, efficient and openly competitive operation of Alberta’s wholesale electricity markets and the retail electricity and natural gas markets.",,https://www.albertamsa.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Marketing of Agricultural Products Act Appeal Tribunal,"The Appeal Tribunal is an administrative tribunal whose function is to hear, in a fair and impartial fashion, appeals of orders, directions or decisions made by the regulated marketing boards or commissions as outlined in the MAPA and the Review and Appeal Regulation.",,https://www.alberta.ca/agricultural-products-appeal-tribunal,,,,,,,,,,,,,
AB,Service Delivery,Medicine Hat College Board of Governors,"Medicine Hat College is a board-governed, public post-secondary institution with its main campus located in Medicine Hat. It operates under the authority of Alberta’sPost-secondary Learning Actas a comprehensive community college. The institution offers a range of foundational, apprenticeship, and undergraduate programming and may undertake research and scholarly activities that are focused on industry or community needs, and that support economic and social development in its region.",,https://www.mhc.ab.ca/about-mhc/admin-governance/board,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Medicine Hat Police Commission,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.,,https://mhpc.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Mental Health Review Panel Roster,"The Mental Health Review Panel Roster hear appeals from formal patients certified under the Mental Health Act (MHA) relating to competency to make treatment decisions, objection to treatment, return to a correctional facility, cancellation of admission or renewal certificates, and automatic review after certification for a continuous period of six months without a hearing.",,https://www.alberta.ca/mental-health-review-panel-roster,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Metis Settlements Appeal Tribunal,"The Metis Settlements Appeal Tribunal was established to resolve disputes through mediation, adjudication and public education. Disputes include land allocations, membership in a Metis Settlement, surface access, or any other matter where both parties agree or has been assigned through legislation or the Metis Settlements General Council policies.",,https://msat.alberta.ca/,,,,,,,,,,,,,
AB,Advisory,Métis Women's Council on Economic Security,"The Metis Women's Council on Economic Security is an advisory agency accountable to the Minister of Indigenous Relations. It provides advice to the Government of Alberta, and other government councils and entities with the goal of enhancing the economic security of Metis and Inuit women.",,https://www.alberta.ca/indigenous-womens-economic-security-councils,,,,,,,,,,,,,
AB,Advisory,Minister's Youth Council,"The Minister’s Youth Council is established to provide the Minister and the department with student perspectives on education policies, programs, and initiatives that impact the kindergarten to grade 12 education system, as determined by the Minister.",,https://www.alberta.ca/student-engagement,,,,,,,,,,,,,
AB,Service Delivery,Mount Royal University Board of Governors,"Mount Royal University is a board-governed, public post-secondary institution with its main campus located in Calgary. It operates under the authority of Alberta’sPost-secondary Learning Actas an undergraduate university. The institution offers a range of undergraduate programming and may undertake research and scholarly activities that enrich undergraduate education.",,https://www.mtroyal.ca/AboutMountRoyal/OfficesGovernance/BoardofGovernors/index.htm,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,MSI Foundation Board of Trustees,The purpose of the Foundation is to foster and support research into the provision of medical and allied health services to the people of Alberta and to promote health matters in the interests of the people of Alberta. It is a policy of the Foundation to devote its funds to charitable endeavours in the medical and health fields in the Province. The Foundation is a granting agency and does not engage directly in research.,,https://msifoundation.ca/board.htm,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Natural Resources Conservation Board,"The Natural Resources Conservation Board provides Albertans with a mechanism to address concerns and grievances related to the forestry industry, non-energy mining, recreational and water management development proposals. The Board is also responsible for the review, approval, monitoring and enforcement of confined feeding operations.",,https://www.nrcb.ca/,,,,,,,,,,,,,
AB,Service Delivery,NorQuest College Board of Governors,"NorQuest College is a board-governed, public post-secondary institution with its main campus located in Edmonton. It operates under the authority of Alberta’sPost-secondary Learning Actas a comprehensive community college. The institution offers a range of foundational, apprenticeship, and undergraduate programming and may undertake research and scholarly activities that are focused on industry or community needs, and that support economic and social development in its region.",,https://www.norquest.ca/about-norquest/governance/board-of-governors/,,,,,,,,,,,,,
AB,Advisory,Northern Alberta Development Council,"The Northern Alberta Development Council is an advocate for the north and is responsible for providing advice, guidance and recommendations regarding northern development, including social and economic development, development of communities and service delivery, and development of government services and programs.",,http://www.nadc.ca/,,,,,,,,,,,,,
AB,Service Delivery,Northern Alberta Institute of Technology Board of Governors,"Northern Alberta Institute of Technology (NAIT) is a board-governed, public post-secondary institution with its main campus located in Edmonton. It operates under the authority of Alberta’sPost-secondary Learning Actas a polytechnic institution. The institution offers a range of apprenticeship and undergraduate programming and may undertake research and scholarly activities that are focused on strengthening economic development in the province.",,https://www.nait.ca/nait/about/corporate-structure/board-of-governors,,,,,,,,,,,,,
AB,Service Delivery,Northern Lakes College Board of Governors,"Northern Lakes College is a board-governed, public post-secondary institution with its main campus located in Slave Lake. It operates under the authority of Alberta’sPost-secondary Learning Actas a comprehensive community college. The institution offers a range of foundational, apprenticeship, and undergraduate programming and may undertake research and scholarly activities that are focused on industry or community needs, and that support economic and social development in its region.",,https://www.northernlakescollege.ca/about-us/board-of-governors,,,,,,,,,,,,,
AB,Service Delivery,Northwestern Polytechnic Board of Governors,"Northwestern Polytechnic is a board-governed, public post-secondary institution with its main campus located in Grande Prairie. It operates under the authority of Alberta’sPost-secondary Learning Actas a polytechnic institution. The institution offers a range of apprenticeship and undergraduate programming and may undertake research and scholarly activities that are focused on strengthening economic development in the province.",,,,,,,,,,,,,,,
AB,Advisory,Notaries Public Advisory Committee,The Notaries Public Advisory Committee is responsible for reviewing requests for appointment of Notaries Public and makes recommendations to the Minister with respect to the granting of such appointments. The Committee provides arm’s length assessments to ensure fair and unbiased decisions.,,https://www.alberta.ca/notaries-public,,,,,,,,,,,,,
AB,Service Delivery,Olds College Board of Governors,"Olds College is a board-governed, public post-secondary institution with its main campus located in Olds. It operates under the authority of Alberta’sPost-secondary Learning Actas a comprehensive community college. The institution offers a range of foundational, apprenticeship, and undergraduate programming and may undertake research and scholarly activities that are focused on industry or community needs, and that support economic and social development in its region.",,https://www.oldscollege.ca/about-us/administration/governance.html,,,,,,,,,,,,,
AB,Service Delivery,Organ and Tissue Donation and Transplantation Provincial Health Corporation,Mandate: The Organ Tissue Donation and Transplantation Provincial Health Corporation (known as Give Life Alberta) is established for the following purposes in the acute care health services sector:,,http://www.givelifealberta.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Out-Of-Country Health Services Appeal Panel,The Appeal Panel hears appeals on decisions made by the Out-of-Country Health Services Committee with respect to requests for payment for insured services or insured hospital services received or to be received outside of Canada.,,https://www.alberta.ca/ahcip-out-of-country-health-funding-eligibility-and-appeals,,,,,,,,,,,,,
